epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,122.197,1.48886,0.44348,0.42823,0.02189,0.39225,0.03688,0.01045,0.85693,0.79522,0.2132,0.003325,0.003325,0.070075
2,243.8,1.25625,0.56957,0.28607,0.01139,0.20408,0.01229,0.00281,1.42106,0.43841,0.25225,0.00659242,0.00659242,0.0400091
3,362.512,1.06991,0.68595,0.23556,0.02314,0.41473,0.05242,0.01753,0.77984,0.90385,0.17029,0.00979383,0.00979383,0.00987717
4,479.135,1.14675,0.61595,0.27677,0.01453,0.26045,0.01793,0.00297,1.13575,0.5668,0.23973,0.009703,0.009703,0.009703
5,594.982,1.06213,0.69742,0.23052,0.02015,0.2667,0.01209,0.00281,1.21687,0.52315,0.20502,0.009604,0.009604,0.009604
6,707.921,1.18198,0.58321,0.23933,0.03843,0.15338,0.02839,0.00763,0.91747,0.75318,0.1798,0.009505,0.009505,0.009505
7,821.919,0.93101,0.77589,0.20292,0.53184,0.38038,0.0608,0.01731,0.79126,0.85766,0.16599,0.009406,0.009406,0.009406
8,936.5,0.8585,0.80686,0.19336,0.02964,0.40927,0.04284,0.01359,0.74979,0.84198,0.16962,0.009307,0.009307,0.009307
9,1051.48,0.80638,0.82878,0.1757,0.04622,0.23163,0.04038,0.01455,0.6486,0.91398,0.1367,0.009208,0.009208,0.009208
10,1172.85,0.86648,0.80074,0.18388,0.02634,0.32841,0.04045,0.01066,0.91779,0.71057,0.19292,0.009109,0.009109,0.009109
11,1287.25,0.90999,0.72868,0.20239,0.06812,0.57405,0.06884,0.02071,0.70117,0.86362,0.1469,0.00901,0.00901,0.00901
12,1402.11,0.89623,0.73495,0.19294,0.07373,0.43742,0.07988,0.02515,0.78847,0.78026,0.1731,0.008911,0.008911,0.008911
13,1518.24,0.84191,0.75854,0.18434,0.11076,0.30579,0.05513,0.0139,1.01558,0.60294,0.3345,0.008812,0.008812,0.008812
14,1634.12,0.87796,0.71788,0.18382,0.0943,0.66016,0.10312,0.03563,0.70965,0.81808,0.15439,0.008713,0.008713,0.008713
15,1754.76,0.79719,0.77581,0.16874,0.11208,0.75181,0.14064,0.05199,0.65919,0.82791,0.13826,0.008614,0.008614,0.008614
16,1875.67,0.72378,0.80236,0.15683,0.14927,0.75921,0.17267,0.07979,0.52909,0.89722,0.11321,0.008515,0.008515,0.008515
17,1995.43,0.70511,0.77176,0.14572,0.16609,0.65439,0.19079,0.07192,0.60109,0.84808,0.11241,0.008416,0.008416,0.008416
18,2115.44,0.71907,0.78276,0.13908,0.17108,0.62409,0.1754,0.07151,0.6063,0.7997,0.11766,0.008317,0.008317,0.008317
19,2235.32,0.73822,0.75692,0.14754,0.15028,0.62613,0.18029,0.05865,0.7173,0.77564,0.16347,0.008218,0.008218,0.008218
20,2355.13,0.75819,0.77372,0.14749,0.16512,0.65301,0.1873,0.07061,0.68881,0.77512,0.17792,0.008119,0.008119,0.008119
21,2474.66,0.74008,0.76168,0.14406,0.13861,0.78415,0.19276,0.07059,0.65824,0.78489,0.14417,0.00802,0.00802,0.00802
22,2594.91,0.7634,0.74399,0.14067,0.14663,0.60119,0.16959,0.0567,0.74634,0.7306,0.13102,0.007921,0.007921,0.007921
23,2715.99,0.77063,0.7194,0.13502,0.19133,0.67994,0.20439,0.09604,0.52084,0.83382,0.10179,0.007822,0.007822,0.007822
24,2836.2,0.66574,0.78453,0.12914,0.16703,0.72427,0.21085,0.09414,0.5724,0.83076,0.11887,0.007723,0.007723,0.007723
25,2964.69,0.81527,0.70931,0.14385,0.14238,0.63018,0.18265,0.05825,0.74978,0.71903,0.14504,0.007624,0.007624,0.007624
26,3092.01,0.74511,0.72989,0.13531,0.17689,0.73952,0.22284,0.09512,0.56812,0.79992,0.10656,0.007525,0.007525,0.007525
27,3217.28,0.64476,0.76882,0.12435,0.28806,0.63668,0.35049,0.15521,0.51595,0.81753,0.101,0.007426,0.007426,0.007426
28,3338.79,0.66685,0.77474,0.12782,0.2044,0.6278,0.22775,0.11826,0.47384,0.8767,0.09285,0.007327,0.007327,0.007327
29,3460.73,0.70466,0.73746,0.13006,0.18766,0.72273,0.24087,0.09988,0.59999,0.86247,0.10822,0.007228,0.007228,0.007228
30,3576.29,0.66112,0.78775,0.1274,0.1898,0.62009,0.1927,0.06688,0.67543,0.79791,0.12409,0.007129,0.007129,0.007129
31,3687.84,0.68663,0.77014,0.1226,0.23019,0.6602,0.26283,0.12485,0.50427,0.81221,0.0974,0.00703,0.00703,0.00703
32,3800.37,0.61147,0.77716,0.11602,0.2493,0.70675,0.28805,0.11216,0.57668,0.75606,0.10612,0.006931,0.006931,0.006931
33,3913.4,0.60208,0.78588,0.11626,0.22158,0.59583,0.23984,0.08264,0.64671,0.74473,0.10933,0.006832,0.006832,0.006832
34,4027.56,0.73507,0.71845,0.14627,0.24258,0.75167,0.33831,0.15865,0.5083,0.80502,0.10353,0.006733,0.006733,0.006733
35,4142.35,0.63981,0.75311,0.126,0.20466,0.71106,0.2638,0.11312,0.58519,0.84008,0.11712,0.006634,0.006634,0.006634
36,4256.98,0.64702,0.73921,0.12794,0.31616,0.66764,0.34856,0.17842,0.48563,0.81801,0.09079,0.006535,0.006535,0.006535
37,4371.64,0.574,0.79058,0.11211,0.2609,0.67818,0.30136,0.14586,0.50323,0.83472,0.10118,0.006436,0.006436,0.006436
38,4486.54,0.62568,0.73803,0.11787,0.2318,0.66214,0.26628,0.13472,0.48223,0.84564,0.09483,0.006337,0.006337,0.006337
